STATE/UT,YEAR,Population (Million) ,Literacy rates,Area(km²),MURDER,ATTEMPT TO MURDER,RAPE,KIDNAPPING & ABDUCTION,KIDNAPPING AND ABDUCTION OF WOMEN AND GIRLS,KIDNAPPING AND ABDUCTION OF OTHERS,DACOITY,ROBBERY,BURGLARY,THEFT,AUTO THEFT,OTHER THEFT,RIOTS,CRIMINAL BREACH OF TRUST,CHEATING,ARSON,HURT/GREVIOUS HURT,DOWRY DEATHS,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,CAUSING DEATH BY NEGLIGENCE,OTHER IPC CRIMES,TOTAL IPC CRIMES,Total Crimes In the state
 Nagaland,2014,2.1,79.55%,16579,70,33,18,23,4,19,14,117,70,255,26,229,6,11,28,5,52,0,3,34,239,984,2240
 Odisha,2014,41,73.45%,155707,1066,1197,770,526,423,103,238,952,2992,5967,1401,4566,1433,271,805,343,4938,319,1811,2652,21058,48739,102570
 Punjab,2014,27,76.68%,50362,775,716,390,463,311,152,17,86,1766,2587,1132,1455,16,313,2729,52,4402,113,261,2181,7637,25630,53184
 Rajasthan,2014,68,67.06%,342239,1279,2030,1038,2384,1881,503,58,673,5911,18842,6648,12194,3101,885,8333,835,25947,379,2825,5579,67767,154859,323951
 Sikkim   ,2014,0.6,82.20%,7096,16,8,3,5,4,1,0,5,64,73,6,67,76,4,22,7,78,0,40,29,196,631,1335
 Tamil Nadu,2014,72,80.09%,130058,1479,1772,618,870,692,178,72,464,4147,17530,3996,13534,3433,268,2121,662,30855,225,1861,9152,88439,166606,348974
 Tripura,2014,3,87.75%,10491,189,36,160,99,54,45,27,46,166,260,49,211,148,17,34,24,452,20,134,85,868,3081,6205
 Uttar Pradesh,2014,199,69.72%,240928,6126,5580,1397,3337,2324,1013,378,2606,5299,22524,8452,14072,3915,2377,4184,381,11265,1708,1900,7136,40711,130181,276866
 Uttarakhand,2014,11,78.82%,53483,262,247,115,213,127,86,37,165,566,1597,500,1097,444,157,372,28,865,82,143,464,2319,8634,18520
 West Bengal,2014,91,77.08%,88752,1425,390,1475,1200,1018,182,212,535,547,14465,2668,11797,2691,425,1686,103,3867,396,1566,2995,27426,69350,146419
 Andaman and Nicobar Islands  ,2014,0.4,86.63%,8249,15,1,10,3,3,0,0,3,69,103,9,94,9,0,12,9,105,0,6,6,387,748,1592
CHANDIGARH,2014,1.2,86.43%,114,22,19,19,54,43,11,0,6,186,1459,653,806,43,23,135,0,65,6,20,5,720,2889,7184
 Dadra and Nagar Haveli   ,2014,0.34,76.24%,603,11,4,7,12,7,5,3,2,20,53,20,33,17,12,22,2,35,0,5,8,193,409,880
 Daman and Diu   ,2014,0.24,87.07%,112,3,1,1,2,0,2,0,1,35,27,12,15,19,4,5,2,17,0,1,25,51,198,421
 Lakshadweep   ,2014,0.064,92.28%,32,0,0,0,0,0,0,0,0,2,5,0,5,37,0,0,0,6,0,0,0,18,70,143
 Puducherry   ,2014,1.2,86.55%,479,25,18,4,10,8,2,0,1,86,634,322,312,147,7,35,9,974,6,50,176,2390,4620,9836
 Andhra Pradesh,2015,57.7,67.02%,162975,2750,1724,935,1612,995,617,250,794,7954,23778,5465,18313,2026,948,7909,967,42179,443,3595,9973,37707,157123,328057
 Arunachal Pradesh,2015,1.5,66.95%,83743,81,37,35,58,39,19,23,77,263,531,119,412,23,36,28,13,383,0,67,69,562,2304,5179
 Assam,2015,31.2,72.19%,78438,1194,503,1238,1751,1456,295,334,451,2255,6369,955,5414,2760,487,873,423,5906,99,899,2695,11299,42006,89662
 Bihar,2015,110.2,61.80%,94163,3471,3307,1147,2693,929,1764,1212,2374,3117,10812,2134,8678,7671,1181,1829,760,11939,1014,451,2680,40057,97850,207070
 Chhattisgarh,2015,28.5,70.28%,135192,1013,660,990,246,184,62,204,401,3621,5600,1619,3981,893,110,431,214,3734,100,1450,2004,20959,43633,92109
 Goa,2015,1.5,87.40%,3702,45,15,20,17,12,5,2,28,265,495,185,310,45,50,58,12,155,2,30,209,641,2119,4720
 Gujarat,2015,63.8,78.03%,196024,1033,452,324,1164,916,248,282,966,5332,17964,7083,10881,1628,1370,1541,320,10503,48,802,4120,60882,113414,241273
 Haryana,2015,27.8,76.64%,44212,784,513,461,492,344,148,88,390,3437,8694,5034,3660,899,562,1204,119,4569,212,380,1083,15879,42664,91616
 Himachal Pradesh,2015,7.1,82.80%,55673,110,79,141,118,102,16,6,22,696,696,166,530,558,82,163,97,1359,2,286,480,7165,12345,25219
 Jammu and Kashmir,2015,12.5,68.74%,42241,647,905,201,748,658,90,13,116,1397,1901,504,1397,1222,117,403,240,355,5,830,462,10040,20115,42366
 Jharkhand,2015,34.6,66.41%,79716,1523,1084,753,621,283,338,592,732,1610,6195,1181,5014,2524,243,643,202,3078,257,293,1490,12550,35175,76381
 Karnataka,2015,67.6,75.36%,191791,1609,1406,343,589,312,277,208,1202,5986,17008,5920,11088,6151,434,2909,238,20883,261,1585,243,54239,117580,250471
 Kerala,2015,34.9,94.00%,38863,388,341,478,226,129,97,110,621,4110,5454,1969,3485,6535,361,3261,456,18302,21,2339,34,57530,104350,210597
